Symbol,Capt,Tdate,Ttime,PerfDay,Volume,VolumeAvg3m
MNK,7310000000,7/20/2016,4:02 PM,7.50%,1892866,1877830
MRO,12580000000,7/20/2016,4:01 PM,0.61%,17504554,20114800
MPC,20030000000,7/20/2016,4:01 PM,0.72%,3500076,6408260
MAR,17760000000,7/20/2016,4:00 PM,-0.40%,1908480,3484580
MMC,34630000000,7/20/2016,4:02 PM,0.12%,1419968,2093330
MLM,12600000000,7/20/2016,4:01 PM,0.06%,349474,775678
MAS,11280000000,7/20/2016,4:02 PM,1.60%,2668230,3604550
MA,1.03E+11,7/20/2016,4:01 PM,1.00%,3484556,4119760
MAT,11180000000,7/20/2016,4:00 PM,1.42%,3734553,3597870
MKC,13180000000,7/20/2016,4:02 PM,-0.93%,504384,716598
MCD,1.11E+11,7/20/2016,4:00 PM,-0.35%,3342531,5418970
MCK,44650000000,7/20/2016,4:02 PM,0.24%,854134,1581720
MJN,17030000000,7/20/2016,4:02 PM,0.12%,454679,1402870
MDT,1.24E+11,7/20/2016,4:02 PM,0.42%,2933165,5137680
MRK,1.63E+11,7/20/2016,4:00 PM,0.22%,6459799,8942110
MET,47410000000,7/20/2016,4:02 PM,0.42%,7943430,7270880
KORS,9080000000,7/20/2016,4:02 PM,0.78%,1445151,3921190
MCHP,11670000000,7/20/2016,3:59 PM,1.17%,1415884,2045900
MU,14110000000,7/20/2016,4:00 PM,2.80%,35485478,29476400
MSFT,4.39E+11,7/20/2016,4:00 PM,5.31%,88368525,33230300
MHK,14900000000,7/20/2016,4:02 PM,1.18%,437154,479630
TAP,21640000000,7/20/2016,4:03 PM,2.83%,4745014,1431520
MDLZ,70110000000,7/20/2016,4:00 PM,-0.90%,4649952,7746350
MON,46720000000,7/20/2016,4:02 PM,-0.10%,2702850,5067510
MNST,32100000000,7/20/2016,4:00 PM,0.47%,581335,1586090
MCO,20250000000,7/20/2016,4:02 PM,0.62%,767853,1187230
