Exchange,Symbol,Name,Sector,Industry,Headquarters,Latitude,Longitude
,DMGT,DAILY MAIL AND GENERAL TRUST NON V,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,TEL2,TELE2,Telecommunication Services,,Sweden,60.128161,18.643501
,EMG,MAN GROUP PLC,Financials,,United Kingdom,55.378051,-3.435973
,SUBC,SUBSEA SA,Energy,,Norway,60.472024,8.468946
,LHA,DEUTSCHE LUFTHANSA AG,Industrials,,Germany,51.165691,10.451526
,PFC,PETROFAC LTD,Energy,,United Kingdom,55.378051,-3.435973
,ANTO,ANTOFAGASTA PLC,Materials,,United Kingdom,55.378051,-3.435973
,TLW,TULLOW OIL PLC,Energy,,United Kingdom,55.378051,-3.435973
,AMFW,AMEC FOSTER WHEELER PLC,Energy,,United Kingdom,55.378051,-3.435973
,MS,MEDIASET,Consumer Discretionary,,Italy,41.87194,12.56738
,BP,BANCO POPOLARE,Financials,,Italy,41.87194,12.56738
,HAS,HAYS PLC,Industrials,,United Kingdom,55.378051,-3.435973
,ANA,ACCIONA SA,Utilities,,Spain,40.463667,-3.74922
,ISPR,INTESA SANPAOLO SAVING,Financials,,Italy,41.87194,12.56738
,HOLM,HOLMEN,Materials,,Sweden,60.128161,18.643501
,GAM,GAM HOLDING AG,Financials,,Switzerland,46.818188,8.227512
,LAD,LADBROKES PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,PNL,POSTNL N.V.,Industrials,,Netherlands,52.132633,5.291266
,FGP,FIRSTGROUP PLC,Industrials,,United Kingdom,55.378051,-3.435973
,STM,STMICROELECTRONICS NV,Information Technology,,France,46.227638,2.213749
,BMPS,BANCA MONTE DEI PASCHI DI SIENA SP,Financials,,Italy,41.87194,12.56738
,IBE.D,IBERDROLA RIGHTS SA,Utilities,,Spain,40.463667,-3.74922
,CKL1,IRISH BANK RESOLUTION CORPORATION,Financials,,Ireland,53.41291,-8.24389
