Exchange,Symbol,Name,Sector,Industry,Headquarters,Latitude,Longitude
,INTU,Intuit Inc.,Information Technology,Internet Software & Services,"Mountain View, California",37.3860517,-122.0838511
,ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment & Services,"Sunnyvale, California",37.36883,-122.0363496
,IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",33.7489954,-84.3879824
,IRM,Iron Mountain Incorporated,Industrials,Data Processing Services,"Boston, Massachusetts",42.3600825,-71.0588801
,JBHT,J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas",36.2553543,-94.1307587
,JEC,Jacobs Engineering Group,Industrials,Industrial Conglomerates,"Pasadena, California",34.1477849,-118.1445155
,JNJ,Johnson & Johnson,Health Care,Health Care Equipment & Services,"New Brunswick, New Jersey",40.4862157,-74.4518188
,JCI,Johnson Controls,Consumer Discretionary,Auto Parts & Equipment,"Milwaukee, Wisconsin",43.0389025,-87.9064736
,JPM,JPMorgan Chase & Co.,Financials,Banks,"New York, New York",40.7127837,-74.0059413
,JNPR,Juniper Networks,Information Technology,Networking Equipment,"Sunnyvale, California",37.36883,-122.0363496
,KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",39.0997265,-94.5785667
,K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",42.3211522,-85.17971419999999
,KEY,KeyCorp,Financials,Banks,"Cleveland, Ohio",41.49932,-81.6943605
,KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",32.8140177,-96.9488945
,KIM,Kimco Realty,Financials,REITs,"New Hyde Park, New York",40.7351018,-73.6879082
,KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",29.7604267,-95.3698028
,KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California",37.4323341,-121.8995741
,KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",43.1788967,-88.1173132
,KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",42.09975,-87.7808967
,KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",39.1031182,-84.5120196
,LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",39.9611755,-82.99879419999999
,LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,"New York, New York",40.7127837,-74.0059413
,LH,Laboratory Corp. of America Holding,Health Care,Health Care Facilities,"Burlington, North Carolina",36.0956918,-79.43779909999999
,LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",37.5482697,-121.9885719
,LM,Legg Mason,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",39.2903848,-76.6121893
,LEG,Leggett & Platt,Industrials,Industrial Conglomerates,"Carthage, Missouri",37.176447,-94.31022279999999
,LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",25.7616798,-80.1917902
,LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,"New York, New York",40.7127837,-74.0059413
,LVLT,Level 3 Communications,Telecommunication Services,Alternative Carriers,"Broomfield, Colorado",39.9205411,-105.0866504
,LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",39.768403,-86.158068
,LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",40.0462208,-75.3599105
,LLTC,Linear Technology Corp.,Information Technology,Semiconductors,"Milpitas, California",37.4323341,-121.8995741
,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",41.8781136,-87.6297982
,LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",38.984652,-77.0947092
,L,Loews Corp.,Financials,Multi-Sector Holdings,"New York, New York",40.7127837,-74.0059413
,LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",35.5848596,-80.8100724
